Correctness Score,Concept Coverage,Reasoning Score,Missing Concepts,Engagement Score,Confidence Score,Hesitation Score,Eye Contact Score,Difficulty,Correct Streak,Wrong Streak,Policy
89,85,83,1,0.844,0.795,0.214,0.694,Medium,1,0,Ask Application Question
97,92,94,0,0.931,0.905,0.105,0.896,Easy,0,0,Increase Difficulty
85,82,85,1,0.741,0.717,0.271,0.748,Medium,2,0,Ask Application Question
50,50,33,5,0.538,0.531,0.777,0.483,Hard,0,4,Reduce Difficulty
52,50,37,3,0.438,0.443,0.742,0.45,Hard,2,0,Maintain Difficulty
93,90,91,1,0.854,0.836,0.132,0.855,Easy,0,0,Increase Difficulty
81,83,87,0,0.723,0.818,0.242,0.774,Easy,0,1,Maintain Difficulty
98,95,94,0,0.934,0.948,0.098,0.975,Hard,0,0,Switch Topic
22,11,23,7,0.204,0.051,0.856,0.082,Medium,0,1,Maintain Difficulty
70,75,85,2,0.529,0.589,0.204,0.68,Easy,0,1,Ask Follow-up Question
22,36,23,6,0.177,0.156,0.893,0.318,Hard,1,0,Reduce Difficulty
94,93,94,0,0.92,0.904,0.081,0.914,Hard,0,0,Switch Topic
70,64,71,2,0.646,0.608,0.39,0.595,Medium,0,2,Maintain Difficulty
68,74,60,5,0.602,0.599,0.311,0.475,Easy,0,0,Probe Missing Concept
96,95,95,0,0.948,0.924,0.066,0.959,Hard,0,0,Switch Topic
54,48,52,6,0.449,0.384,0.617,0.378,Easy,3,0,Probe Missing Concept
98,96,96,0,0.99,0.935,0.051,0.969,Hard,0,0,Switch Topic
92,86,89,1,0.919,0.891,0.176,0.85,Medium,1,0,Ask Application Question
84,67,84,4,0.803,0.727,0.396,0.749,Easy,1,0,Probe Missing Concept
92,92,91,0,0.83,0.87,0.093,0.867,Easy,0,0,Increase Difficulty
97,94,93,0,0.936,0.917,0.111,0.973,Hard,0,0,Switch Topic
42,44,43,5,0.444,0.457,0.607,0.413,Medium,1,0,Reduce Difficulty
78,70,85,2,0.743,0.683,0.307,0.619,Easy,0,1,Ask Follow-up Question
93,93,93,1,0.884,0.846,0.075,0.882,Easy,0,0,Increase Difficulty
93,88,93,1,0.912,0.81,0.131,0.831,Easy,0,0,Increase Difficulty
88,83,80,1,0.842,0.733,0.239,0.633,Medium,1,0,Ask Application Question
93,92,93,1,0.877,0.857,0.084,0.873,Easy,0,0,Increase Difficulty
21,29,16,8,0.135,0.126,0.999,0.2,Medium,0,2,Reduce Difficulty
85,84,87,0,0.78,0.734,0.213,0.824,Medium,0,0,Ask Application Question
96,89,92,0,0.901,0.878,0.16,0.867,Easy,0,0,Increase Difficulty
47,57,54,5,0.49,0.647,0.454,0.592,Hard,0,5,Reduce Difficulty
46,47,48,6,0.367,0.309,0.617,0.337,Easy,0,1,Probe Missing Concept
71,66,71,4,0.667,0.579,0.401,0.61,Medium,1,0,Probe Missing Concept
32,29,21,6,0.299,0.201,0.928,0.193,Hard,0,3,Reduce Difficulty
87,84,87,1,0.793,0.823,0.224,0.816,Medium,2,0,Ask Application Question
73,68,65,2,0.655,0.65,0.456,0.625,Hard,0,1,Maintain Difficulty
96,93,94,0,0.926,0.899,0.087,0.906,Easy,0,0,Increase Difficulty
96,93,96,1,0.953,0.885,0.051,0.892,Easy,0,0,Increase Difficulty
85,84,85,1,0.751,0.741,0.216,0.76,Medium,2,0,Ask Application Question
53,60,52,3,0.459,0.497,0.582,0.553,Hard,1,0,Maintain Difficulty
97,94,95,0,0.941,0.944,0.08,0.945,Hard,0,0,Switch Topic
71,49,51,5,0.695,0.448,0.587,0.448,Hard,1,0,Maintain Difficulty
92,84,84,0,0.958,0.804,0.231,0.727,Medium,0,1,Ask Application Question
26,28,31,6,0.224,0.161,0.778,0.248,Hard,1,0,Maintain Difficulty
80,75,87,1,0.797,0.745,0.203,0.736,Medium,2,0,Ask Follow-up Question
89,87,89,1,0.797,0.77,0.149,0.795,Easy,0,0,Increase Difficulty
95,92,94,0,0.926,0.896,0.1,0.912,Hard,0,0,Switch Topic
97,95,95,0,0.94,0.941,0.08,0.954,Hard,0,0,Switch Topic
87,85,85,1,0.801,0.779,0.2,0.754,Medium,3,0,Ask Application Question
99,93,96,0,0.992,0.92,0.077,0.928,Easy,0,0,Increase Difficulty
42,46,40,3,0.489,0.38,0.63,0.465,Hard,1,0,Reduce Difficulty
94,93,94,0,0.919,0.911,0.078,0.912,Hard,0,0,Switch Topic
46,48,52,4,0.437,0.368,0.572,0.451,Hard,0,2,Maintain Difficulty
61,63,62,3,0.583,0.507,0.478,0.592,Medium,2,0,Maintain Difficulty
53,58,53,7,0.411,0.467,0.504,0.389,Easy,0,1,Probe Missing Concept
53,56,63,3,0.473,0.502,0.471,0.516,Medium,0,2,Maintain Difficulty
76,77,85,4,0.715,0.729,0.277,0.773,Easy,0,0,Probe Missing Concept
80,77,88,1,0.795,0.753,0.149,0.785,Medium,1,0,Ask Follow-up Question
56,51,46,4,0.525,0.42,0.636,0.476,Medium,0,1,Maintain Difficulty
61,57,59,2,0.515,0.59,0.522,0.52,Easy,0,1,Maintain Difficulty
61,68,87,3,0.59,0.584,0.218,0.65,Easy,0,2,Maintain Difficulty
96,94,94,0,0.94,0.913,0.085,0.943,Hard,0,0,Switch Topic
95,92,93,0,0.916,0.896,0.111,0.917,Hard,0,0,Switch Topic
74,76,80,6,0.638,0.757,0.299,0.696,Easy,0,1,Probe Missing Concept
89,83,87,1,0.839,0.795,0.257,0.802,Medium,0,1,Ask Application Question
93,91,93,0,0.894,0.884,0.114,0.879,Hard,0,0,Switch Topic
78,77,86,2,0.74,0.676,0.203,0.786,Medium,0,1,Ask Follow-up Question
41,58,56,3,0.342,0.447,0.542,0.539,Hard,0,2,Maintain Difficulty
85,85,88,1,0.757,0.742,0.182,0.837,Medium,3,0,Ask Application Question
33,44,28,4,0.368,0.249,0.806,0.438,Medium,0,3,Reduce Difficulty
85,83,87,1,0.764,0.748,0.251,0.809,Medium,1,0,Ask Application Question
93,88,90,1,0.866,0.829,0.17,0.876,Hard,0,0,Switch Topic
44,48,43,4,0.506,0.452,0.597,0.487,Medium,0,4,Reduce Difficulty
88,84,88,0,0.882,0.738,0.211,0.861,Medium,1,0,Ask Application Question
88,86,86,1,0.81,0.815,0.16,0.787,Medium,0,0,Ask Application Question
88,87,87,1,0.806,0.846,0.14,0.801,Medium,1,0,Ask Application Question
89,86,87,0,0.871,0.787,0.159,0.813,Medium,0,1,Ask Application Question
95,91,91,1,0.883,0.851,0.125,0.888,Easy,0,0,Increase Difficulty
79,78,91,0,0.753,0.843,0.078,0.762,Easy,1,0,Ask Follow-up Question
29,28,25,5,0.293,0.155,0.865,0.188,Medium,0,4,Reduce Difficulty
95,93,94,0,0.913,0.899,0.076,0.884,Easy,0,0,Increase Difficulty
86,83,86,1,0.791,0.725,0.236,0.786,Medium,1,0,Ask Application Question
84,77,86,1,0.855,0.821,0.225,0.832,Medium,0,1,Ask Follow-up Question
87,86,85,1,0.805,0.764,0.171,0.768,Medium,1,0,Ask Application Question
76,76,82,3,0.735,0.682,0.282,0.742,Easy,1,0,Probe Missing Concept
69,70,57,2,0.61,0.622,0.545,0.648,Easy,2,0,Maintain Difficulty
92,91,93,1,0.893,0.865,0.092,0.882,Hard,0,0,Switch Topic
87,83,89,1,0.794,0.79,0.253,0.852,Medium,3,0,Ask Application Question
66,66,70,4,0.627,0.527,0.385,0.6,Easy,1,0,Probe Missing Concept
97,94,95,0,0.943,0.949,0.086,0.944,Hard,0,0,Switch Topic
94,93,93,0,0.887,0.876,0.079,0.899,Easy,0,0,Increase Difficulty
95,93,93,0,0.893,0.886,0.096,0.907,Easy,0,0,Increase Difficulty
61,63,87,5,0.536,0.607,0.432,0.806,Easy,0,1,Probe Missing Concept
80,77,78,0,0.687,0.816,0.346,0.708,Hard,0,1,Maintain Difficulty
77,70,84,2,0.704,0.648,0.327,0.649,Easy,0,1,Ask Follow-up Question
76,63,72,5,0.678,0.668,0.451,0.604,Easy,0,1,Probe Missing Concept
89,85,86,1,0.832,0.813,0.213,0.772,Medium,2,0,Ask Application Question
95,93,92,0,0.9,0.905,0.109,0.935,Hard,0,0,Switch Topic
25,34,30,6,0.22,0.193,0.783,0.28,Hard,0,3,Reduce Difficulty
51,60,68,5,0.428,0.449,0.468,0.582,Easy,3,0,Probe Missing Concept
85,87,86,0,0.784,0.749,0.141,0.808,Medium,1,0,Ask Application Question
77,86,85,1,0.712,0.765,0.251,0.816,Hard,0,2,Maintain Difficulty
84,84,80,2,0.726,0.697,0.229,0.634,Medium,0,1,Ask Application Question
33,36,23,7,0.287,0.304,0.92,0.28,Medium,0,4,Reduce Difficulty
53,47,39,3,0.626,0.478,0.659,0.455,Hard,1,0,Reduce Difficulty
38,38,34,5,0.407,0.331,0.728,0.333,Hard,1,0,Reduce Difficulty
61,62,54,4,0.58,0.476,0.556,0.584,Medium,1,0,Maintain Difficulty
82,82,82,1,0.692,0.62,0.274,0.686,Medium,0,1,Ask Application Question
46,40,42,6,0.46,0.271,0.669,0.371,Medium,0,2,Maintain Difficulty
83,82,85,1,0.714,0.703,0.277,0.766,Medium,0,1,Ask Application Question
48,58,61,2,0.498,0.247,0.453,0.525,Medium,0,1,Probe Missing Concept
36,34,26,6,0.363,0.281,0.859,0.274,Medium,0,5,Reduce Difficulty
49,48,61,7,0.359,0.448,0.619,0.48,Easy,0,2,Probe Missing Concept
38,51,38,6,0.361,0.485,0.682,0.511,Medium,1,0,Reduce Difficulty
81,79,80,2,0.657,0.595,0.36,0.643,Medium,0,1,Ask Application Question
46,51,40,4,0.521,0.464,0.649,0.528,Medium,1,0,Reduce Difficulty
83,84,87,0,0.734,0.672,0.2,0.835,Medium,2,0,Ask Application Question
95,93,94,0,0.92,0.915,0.085,0.916,Hard,0,0,Switch Topic
78,74,84,3,0.762,0.656,0.251,0.705,Hard,0,1,Maintain Difficulty
52,54,54,6,0.421,0.415,0.542,0.398,Medium,0,1,Probe Missing Concept
76,73,81,2,0.674,0.615,0.355,0.733,Medium,1,0,Ask Follow-up Question
72,70,75,5,0.652,0.655,0.356,0.656,Easy,1,0,Probe Missing Concept
97,95,97,0,0.956,0.962,0.04,0.916,Easy,0,0,Increase Difficulty
50,50,51,3,0.412,0.477,0.601,0.449,Hard,0,2,Maintain Difficulty
88,88,92,1,0.83,0.825,0.182,0.836,Easy,0,1,Maintain Difficulty
96,91,93,0,0.919,0.895,0.132,0.92,Hard,0,0,Switch Topic
82,81,83,2,0.675,0.658,0.307,0.697,Medium,1,0,Ask Application Question
90,90,90,0,0.893,0.899,0.062,0.894,Medium,1,0,Ask Application Question
54,64,65,6,0.444,0.494,0.426,0.544,Easy,1,0,Probe Missing Concept
73,67,78,3,0.578,0.546,0.492,0.613,Easy,2,0,Ask Follow-up Question
79,72,86,1,0.761,0.728,0.267,0.682,Easy,1,0,Ask Follow-up Question
66,60,64,7,0.529,0.627,0.499,0.503,Medium,1,0,Probe Missing Concept
98,97,96,0,0.967,0.941,0.028,0.977,Easy,0,0,Increase Difficulty
95,95,95,0,0.925,0.903,0.039,0.914,Easy,0,0,Increase Difficulty
89,87,86,0,0.869,0.821,0.152,0.788,Medium,2,0,Ask Application Question
98,93,95,0,0.936,0.941,0.094,0.916,Easy,0,0,Increase Difficulty
87,87,89,0,0.856,0.755,0.117,0.884,Medium,2,0,Ask Application Question
83,84,81,0,0.748,0.634,0.194,0.672,Medium,1,0,Ask Application Question
33,45,56,4,0.298,0.32,0.525,0.43,Easy,2,0,Maintain Difficulty
47,56,63,1,0.341,0.58,0.486,0.503,Hard,0,1,Maintain Difficulty
99,95,96,0,0.971,0.952,0.06,0.931,Easy,0,0,Increase Difficulty
84,78,91,1,0.928,0.815,0.069,0.818,Medium,1,0,Ask Follow-up Question
33,37,31,7,0.299,0.338,0.78,0.313,Medium,0,2,Reduce Difficulty
52,42,63,4,0.47,0.434,0.465,0.383,Easy,2,0,Maintain Difficulty
35,44,28,5,0.348,0.316,0.825,0.415,Medium,0,3,Reduce Difficulty
86,86,87,1,0.764,0.803,0.174,0.802,Medium,3,0,Ask Application Question
55,54,62,6,0.443,0.465,0.546,0.498,Easy,0,1,Probe Missing Concept
95,92,94,0,0.927,0.894,0.106,0.901,Hard,0,0,Switch Topic
94,90,93,0,0.883,0.875,0.116,0.847,Easy,0,0,Increase Difficulty
94,91,91,0,0.859,0.86,0.124,0.89,Easy,0,0,Increase Difficulty
83,80,74,4,0.789,0.737,0.245,0.635,Medium,1,0,Probe Missing Concept
38,46,40,6,0.368,0.437,0.645,0.44,Medium,0,3,Reduce Difficulty
66,65,77,3,0.657,0.506,0.39,0.699,Medium,1,0,Probe Missing Concept
96,97,95,0,0.946,0.92,0.035,0.97,Hard,0,0,Switch Topic
91,87,88,2,0.82,0.756,0.189,0.825,Easy,0,0,Increase Difficulty
87,82,82,2,0.773,0.782,0.279,0.674,Medium,0,1,Ask Application Question
41,34,31,6,0.382,0.238,0.786,0.312,Hard,0,1,Maintain Difficulty
74,69,81,2,0.606,0.63,0.387,0.62,Medium,0,1,Ask Follow-up Question
53,48,38,7,0.41,0.356,0.624,0.207,Medium,2,0,Probe Missing Concept
61,53,71,4,0.592,0.478,0.381,0.499,Medium,1,0,Maintain Difficulty
77,65,69,4,0.717,0.633,0.422,0.572,Easy,0,2,Probe Missing Concept
57,52,65,5,0.505,0.437,0.558,0.542,Medium,2,0,Probe Missing Concept
44,35,40,4,0.505,0.378,0.649,0.286,Hard,0,2,Reduce Difficulty
93,90,91,1,0.885,0.851,0.146,0.886,Hard,0,0,Switch Topic
90,88,90,1,0.814,0.802,0.139,0.812,Easy,0,0,Increase Difficulty
23,26,37,8,0.142,0.239,0.685,0.152,Hard,0,4,Reduce Difficulty
69,64,80,5,0.607,0.651,0.438,0.708,Medium,0,2,Probe Missing Concept
94,92,90,1,0.865,0.829,0.122,0.905,Easy,0,0,Increase Difficulty
99,92,92,0,0.933,0.919,0.144,0.945,Easy,0,0,Increase Difficulty
54,50,55,4,0.511,0.421,0.549,0.465,Medium,1,0,Maintain Difficulty
89,85,88,0,0.902,0.775,0.173,0.856,Medium,1,0,Ask Application Question
95,94,95,0,0.923,0.92,0.067,0.927,Hard,0,0,Switch Topic
96,92,93,0,0.91,0.889,0.108,0.886,Easy,0,0,Increase Difficulty
82,74,90,1,0.821,0.815,0.158,0.682,Medium,0,2,Ask Follow-up Question
75,72,86,2,0.663,0.668,0.244,0.655,Medium,1,0,Ask Follow-up Question
74,68,69,6,0.634,0.713,0.396,0.561,Easy,0,2,Probe Missing Concept
78,80,87,2,0.769,0.668,0.134,0.869,Medium,1,0,Ask Follow-up Question
81,67,85,2,0.818,0.695,0.362,0.576,Easy,0,1,Ask Follow-up Question
69,68,59,6,0.574,0.632,0.392,0.449,Easy,1,0,Probe Missing Concept
72,70,76,4,0.659,0.643,0.35,0.664,Easy,1,0,Probe Missing Concept
78,73,88,2,0.795,0.665,0.177,0.666,Easy,2,0,Ask Follow-up Question
67,65,66,3,0.628,0.571,0.441,0.607,Hard,0,1,Maintain Difficulty
66,58,60,4,0.634,0.457,0.487,0.487,Easy,0,2,Probe Missing Concept
79,73,83,2,0.767,0.655,0.324,0.731,Medium,0,0,Ask Follow-up Question
31,48,43,6,0.318,0.222,0.648,0.463,Easy,0,2,Maintain Difficulty
95,88,93,0,0.9,0.888,0.152,0.831,Easy,0,0,Increase Difficulty
36,37,25,5,0.39,0.243,0.862,0.319,Medium,0,4,Reduce Difficulty
89,85,87,0,0.884,0.761,0.171,0.816,Medium,2,0,Ask Application Question
85,81,83,2,0.74,0.719,0.301,0.695,Medium,1,0,Ask Application Question
94,91,92,0,0.888,0.879,0.134,0.914,Hard,0,0,Switch Topic
38,44,44,7,0.348,0.479,0.602,0.41,Hard,0,4,Reduce Difficulty
71,54,65,3,0.667,0.555,0.455,0.5,Medium,1,0,Maintain Difficulty
79,78,78,3,0.58,0.587,0.392,0.57,Medium,2,0,Ask Application Question
84,83,85,1,0.745,0.697,0.231,0.754,Medium,3,0,Ask Application Question
95,93,94,1,0.923,0.874,0.075,0.896,Easy,0,0,Increase Difficulty
86,85,87,2,0.748,0.81,0.207,0.803,Medium,0,1,Ask Application Question
74,70,85,1,0.633,0.662,0.287,0.605,Easy,0,0,Ask Follow-up Question
70,69,84,3,0.562,0.533,0.287,0.535,Medium,1,0,Ask Follow-up Question
34,39,33,5,0.347,0.295,0.741,0.351,Hard,0,2,Reduce Difficulty
81,82,83,2,0.657,0.654,0.261,0.721,Medium,2,0,Ask Application Question
79,73,74,4,0.753,0.667,0.325,0.634,Easy,2,0,Probe Missing Concept
55,68,75,3,0.521,0.541,0.339,0.647,Easy,0,2,Maintain Difficulty
48,51,43,4,0.422,0.398,0.672,0.465,Easy,2,0,Maintain Difficulty
96,97,94,0,0.935,0.94,0.054,0.979,Hard,0,0,Switch Topic
38,47,47,4,0.415,0.428,0.537,0.465,Medium,1,0,Reduce Difficulty
94,92,94,1,0.906,0.868,0.088,0.878,Easy,0,0,Increase Difficulty
50,68,59,2,0.416,0.555,0.51,0.64,Easy,1,0,Maintain Difficulty
95,94,93,0,0.912,0.909,0.088,0.947,Hard,0,0,Switch Topic
83,80,83,3,0.677,0.721,0.328,0.685,Medium,2,0,Ask Application Question
92,89,88,0,0.798,0.837,0.174,0.863,Easy,0,0,Increase Difficulty
60,52,65,6,0.501,0.497,0.568,0.533,Easy,0,2,Probe Missing Concept
86,77,86,2,0.929,0.809,0.238,0.863,Easy,0,0,Ask Follow-up Question
95,92,93,0,0.901,0.909,0.109,0.907,Hard,0,0,Switch Topic
78,65,72,3,0.763,0.59,0.413,0.62,Easy,0,2,Probe Missing Concept
38,46,35,4,0.413,0.37,0.714,0.456,Medium,0,2,Reduce Difficulty
70,61,86,6,0.58,0.735,0.476,0.764,Medium,0,2,Probe Missing Concept
69,65,59,4,0.662,0.485,0.404,0.466,Medium,1,0,Probe Missing Concept
84,82,90,0,0.869,0.884,0.07,0.916,Medium,0,1,Ask Follow-up Question
28,33,22,7,0.245,0.213,0.909,0.255,Medium,0,5,Reduce Difficulty
53,49,60,2,0.45,0.505,0.513,0.44,Medium,2,0,Maintain Difficulty
82,73,84,1,0.782,0.801,0.322,0.738,Easy,0,1,Ask Follow-up Question
77,59,55,3,0.711,0.576,0.563,0.537,Medium,0,2,Maintain Difficulty
52,45,48,3,0.45,0.434,0.629,0.401,Medium,2,0,Maintain Difficulty
25,27,21,6,0.215,0.129,0.922,0.17,Medium,0,4,Reduce Difficulty
93,92,92,0,0.861,0.86,0.09,0.87,Easy,0,0,Increase Difficulty
82,83,84,2,0.683,0.689,0.247,0.745,Medium,1,0,Ask Application Question
82,83,84,2,0.658,0.702,0.247,0.734,Medium,2,0,Ask Application Question
81,72,83,2,0.782,0.697,0.347,0.723,Easy,1,0,Ask Follow-up Question
85,83,86,1,0.771,0.718,0.248,0.78,Medium,0,0,Ask Application Question
97,94,95,0,0.947,0.94,0.091,0.953,Hard,0,0,Switch Topic
85,83,86,1,0.763,0.706,0.24,0.781,Medium,1,0,Ask Application Question
62,63,65,3,0.574,0.544,0.452,0.59,Easy,2,0,Maintain Difficulty
66,68,68,1,0.555,0.68,0.441,0.624,Easy,0,1,Maintain Difficulty
55,55,49,4,0.503,0.455,0.607,0.507,Medium,0,1,Maintain Difficulty
95,91,92,1,0.907,0.847,0.11,0.887,Easy,0,0,Increase Difficulty
47,55,41,5,0.447,0.346,0.683,0.522,Easy,0,1,Maintain Difficulty
90,87,87,0,0.895,0.822,0.137,0.825,Medium,2,0,Ask Application Question
93,92,91,1,0.862,0.821,0.102,0.88,Easy,0,0,Increase Difficulty
87,85,83,2,0.771,0.793,0.21,0.7,Medium,0,1,Ask Application Question
57,59,66,2,0.494,0.57,0.452,0.545,Medium,0,2,Maintain Difficulty
91,86,88,0,0.897,0.856,0.162,0.821,Medium,3,0,Ask Application Question
65,71,74,4,0.59,0.581,0.335,0.648,Easy,0,1,Probe Missing Concept
79,81,77,3,0.775,0.678,0.211,0.686,Easy,1,0,Probe Missing Concept
80,76,89,0,0.776,0.816,0.163,0.732,Easy,0,0,Ask Follow-up Question
81,74,84,1,0.751,0.781,0.31,0.765,Medium,0,2,Ask Follow-up Question
79,66,85,2,0.767,0.697,0.362,0.527,Easy,0,1,Ask Follow-up Question
76,72,85,2,0.701,0.636,0.273,0.666,Easy,0,2,Ask Follow-up Question
94,91,92,1,0.893,0.875,0.119,0.901,Hard,0,0,Switch Topic
80,72,85,1,0.748,0.755,0.307,0.695,Medium,0,1,Ask Follow-up Question
79,73,73,5,0.71,0.731,0.335,0.614,Medium,0,1,Probe Missing Concept
96,97,97,0,0.959,0.963,0.021,0.949,Hard,0,0,Switch Topic
84,84,83,2,0.687,0.755,0.216,0.712,Medium,1,0,Ask Application Question
19,16,29,7,0.125,0.082,0.805,0.008,Medium,1,0,Reduce Difficulty
83,81,81,3,0.671,0.693,0.31,0.632,Medium,0,1,Ask Application Question
96,94,93,0,0.917,0.885,0.069,0.925,Easy,0,0,Increase Difficulty
56,61,67,5,0.506,0.455,0.445,0.577,Easy,0,1,Probe Missing Concept
28,35,27,5,0.28,0.176,0.829,0.304,Medium,0,3,Reduce Difficulty
44,38,38,5,0.469,0.41,0.683,0.319,Medium,0,5,Reduce Difficulty
96,95,95,0,0.952,0.926,0.06,0.953,Hard,0,0,Switch Topic
43,45,54,5,0.441,0.55,0.44,0.432,Medium,0,3,Reduce Difficulty
69,65,79,3,0.516,0.462,0.459,0.498,Easy,1,0,Ask Follow-up Question
97,92,95,0,0.958,0.9,0.088,0.906,Easy,0,0,Increase Difficulty
30,23,21,8,0.245,0.212,0.949,0.098,Hard,0,4,Reduce Difficulty
88,84,80,1,0.853,0.722,0.222,0.624,Medium,1,0,Ask Application Question
96,92,94,0,0.915,0.888,0.096,0.893,Easy,0,0,Increase Difficulty
53,56,65,7,0.41,0.507,0.532,0.53,Easy,0,1,Probe Missing Concept
79,72,79,2,0.746,0.678,0.31,0.676,Easy,2,0,Maintain Difficulty
32,46,64,6,0.363,0.238,0.424,0.457,Medium,3,0,Maintain Difficulty
52,66,62,4,0.509,0.441,0.462,0.634,Medium,0,2,Maintain Difficulty
94,91,94,0,0.907,0.88,0.088,0.858,Easy,0,0,Increase Difficulty
70,76,72,5,0.637,0.65,0.285,0.616,Medium,0,1,Probe Missing Concept
72,71,75,4,0.677,0.63,0.341,0.661,Medium,0,3,Probe Missing Concept
66,54,70,6,0.576,0.557,0.556,0.593,Medium,0,1,Probe Missing Concept
86,82,82,2,0.755,0.719,0.281,0.668,Medium,3,0,Ask Application Question
30,39,29,5,0.298,0.231,0.794,0.361,Medium,1,0,Reduce Difficulty
97,95,96,0,0.963,0.918,0.044,0.925,Easy,0,0,Increase Difficulty
96,93,94,0,0.916,0.902,0.08,0.901,Easy,0,0,Increase Difficulty
50,61,61,3,0.462,0.474,0.482,0.581,Hard,0,2,Maintain Difficulty
95,94,92,0,0.889,0.873,0.071,0.922,Easy,0,0,Increase Difficulty
75,63,67,2,0.666,0.659,0.446,0.574,Easy,0,2,Maintain Difficulty
90,77,64,4,0.905,0.63,0.453,0.739,Medium,0,1,Maintain Difficulty
79,70,62,3,0.752,0.61,0.478,0.658,Easy,0,1,Maintain Difficulty
73,71,82,2,0.587,0.6,0.348,0.641,Easy,0,0,Ask Follow-up Question
75,73,86,1,0.671,0.684,0.221,0.651,Easy,1,0,Ask Follow-up Question
79,72,87,1,0.756,0.73,0.235,0.648,Easy,0,1,Ask Follow-up Question
48,57,64,6,0.395,0.403,0.499,0.532,Medium,2,0,Probe Missing Concept
29,32,37,5,0.3,0.215,0.674,0.254,Medium,0,4,Reduce Difficulty
95,91,91,0,0.86,0.869,0.135,0.895,Easy,0,0,Increase Difficulty
38,24,46,3,0.291,0.346,0.647,0.188,Medium,0,3,Maintain Difficulty
40,39,39,4,0.455,0.327,0.654,0.352,Hard,1,0,Reduce Difficulty
86,84,88,1,0.793,0.762,0.226,0.84,Medium,1,0,Ask Application Question
90,85,89,1,0.868,0.853,0.2,0.858,Medium,2,0,Ask Application Question
84,94,88,1,0.796,0.798,0.224,0.897,Hard,1,0,Maintain Difficulty
87,84,83,0,0.82,0.717,0.22,0.7,Medium,2,0,Ask Application Question
56,63,63,3,0.506,0.523,0.462,0.594,Medium,0,2,Maintain Difficulty
79,72,83,2,0.751,0.671,0.331,0.717,Medium,1,0,Ask Follow-up Question
90,91,89,0,0.896,0.876,0.042,0.854,Medium,1,0,Ask Application Question
46,45,57,8,0.322,0.406,0.655,0.433,Easy,0,2,Probe Missing Concept
94,93,91,0,0.861,0.871,0.091,0.906,Easy,0,0,Increase Difficulty
83,80,85,3,0.678,0.739,0.334,0.747,Medium,0,2,Ask Application Question
96,94,94,0,0.938,0.916,0.072,0.944,Hard,0,0,Switch Topic
94,91,93,1,0.896,0.856,0.096,0.869,Easy,0,0,Increase Difficulty
73,70,72,5,0.649,0.674,0.364,0.601,Easy,2,0,Probe Missing Concept
73,72,84,1,0.58,0.673,0.303,0.644,Easy,0,1,Ask Follow-up Question
97,93,95,0,0.963,0.922,0.088,0.934,Hard,0,0,Switch Topic
93,89,92,1,0.877,0.855,0.143,0.871,Hard,0,0,Switch Topic
54,54,70,3,0.532,0.334,0.518,0.627,Medium,0,1,Probe Missing Concept
53,70,70,2,0.491,0.546,0.39,0.663,Easy,0,1,Maintain Difficulty
80,73,85,1,0.749,0.745,0.277,0.702,Medium,1,0,Ask Follow-up Question
38,45,43,3,0.432,0.35,0.592,0.45,Hard,0,5,Reduce Difficulty
48,49,47,4,0.445,0.373,0.623,0.453,Easy,1,0,Maintain Difficulty
90,83,88,1,1.0,0.908,0.128,1.0,Easy,0,1,Ask Follow-up Question
54,53,60,6,0.436,0.446,0.554,0.481,Easy,0,1,Probe Missing Concept
82,82,85,2,0.666,0.713,0.287,0.768,Medium,0,1,Ask Application Question
94,91,95,0,0.901,0.893,0.078,0.85,Easy,0,0,Increase Difficulty
35,41,26,6,0.332,0.338,0.856,0.373,Hard,0,2,Reduce Difficulty
72,70,82,2,0.567,0.596,0.348,0.609,Easy,1,0,Ask Follow-up Question
95,89,92,0,0.895,0.864,0.142,0.859,Easy,0,0,Increase Difficulty
96,93,94,0,0.908,0.896,0.089,0.902,Easy,0,0,Increase Difficulty
51,40,52,2,0.406,0.471,0.598,0.345,Medium,2,0,Maintain Difficulty
68,69,76,5,0.614,0.631,0.363,0.66,Medium,0,1,Probe Missing Concept
77,75,86,1,0.678,0.749,0.238,0.719,Easy,0,1,Ask Follow-up Question
91,73,88,2,0.908,0.776,0.322,0.81,Easy,2,0,Probe Missing Concept
75,71,85,3,0.714,0.582,0.265,0.641,Medium,2,0,Ask Follow-up Question
85,83,82,1,0.765,0.701,0.249,0.693,Medium,1,0,Ask Application Question
87,84,82,1,0.806,0.72,0.22,0.684,Medium,2,0,Ask Application Question
73,73,82,3,0.62,0.552,0.313,0.723,Easy,2,0,Ask Follow-up Question
87,87,85,2,0.79,0.826,0.143,0.746,Medium,0,1,Ask Application Question
64,73,63,4,0.63,0.52,0.459,0.702,Hard,0,1,Maintain Difficulty
76,67,81,3,0.681,0.593,0.425,0.572,Easy,1,0,Ask Follow-up Question
79,82,86,3,0.771,0.735,0.209,0.789,Medium,2,0,Probe Missing Concept
65,66,75,2,0.586,0.621,0.347,0.619,Easy,2,0,Maintain Difficulty
83,84,83,2,0.685,0.71,0.232,0.708,Medium,1,0,Ask Application Question
93,91,91,0,0.85,0.868,0.124,0.876,Easy,0,0,Increase Difficulty
72,67,83,2,0.569,0.588,0.341,0.526,Medium,1,0,Ask Follow-up Question
76,73,87,2,0.722,0.658,0.196,0.65,Easy,0,0,Ask Follow-up Question
